sample_lib,date,experiment,antibody,concentration,selection,cells_sorted,counts all variants,counts SARS-CoV-2 variants,counts:cells all variants,counts:cells SARS-CoV-2 variants
"expt_24-33-none-0-reference, lib1",200904,expt_24-33,none,0,reference,,5.4e+07,5.34e+07,,
"expt_24-33-none-0-reference, lib2",200904,expt_24-33,none,0,reference,,5.8e+07,5.75e+07,,
"expt_53-59-none-0-reference, lib1",200923,expt_53-59,none,0,reference,,3.01e+07,2.98e+07,,
"expt_53-59-none-0-reference, lib2",200923,expt_53-59,none,0,reference,,3.54e+07,3.51e+07,,
"expt_60-64-none-0-reference, lib1",200929,expt_60-64,none,0,reference,,2.78e+07,2.75e+07,,
"expt_60-64-none-0-reference, lib2",200929,expt_60-64,none,0,reference,,3.16e+07,3.14e+07,,
"expt_13-16-none-0-reference, lib1",200720,expt_13-16,none,0,reference,,2.5e+07,2.46e+07,,
"expt_13-16-none-0-reference, lib2",200720,expt_13-16,none,0,reference,,2.4e+07,2.36e+07,,
"expt_7-11-none-0-reference, lib1",200616,expt_7-11,none,0,reference,,3.39e+07,3.35e+07,,
"expt_7-11-none-0-reference, lib2",200616,expt_7-11,none,0,reference,,3.5e+07,3.46e+07,,
"expt_22-23-none-0-reference, lib1",200810,expt_22-23,none,0,reference,,1.06e+08,1.05e+08,,
"expt_22-23-none-0-reference, lib2",200810,expt_22-23,none,0,reference,,1.02e+08,1e+08,,
"expt_65-67-none-0-reference, lib1",201102,expt_65-67,none,0,reference,,2.33e+07,2.31e+07,,
"expt_65-67-none-0-reference, lib2",201102,expt_65-67,none,0,reference,,2.55e+07,2.52e+07,,
"expt_3-6-none-0-reference, lib1",200615,expt_3-6,none,0,reference,,3.23e+07,3.2e+07,,
"expt_3-6-none-0-reference, lib2",200615,expt_3-6,none,0,reference,,3.56e+07,3.51e+07,,
"expt_29-2196+2130-400-escape, lib1",200904,expt_29,2196+2130,400,escape,1523536.0,5.68e+06,5.22e+06,3.7264934993331305,3.4283147887545815
"expt_29-2196+2130-400-escape, lib2",200904,expt_29,2196+2130,400,escape,1382411.0,6.18e+06,5.69e+06,4.469596957778837,4.114321283612472
"expt_58-C002-400-escape, lib1",200923,expt_58,C002,400,escape,1762675.0,6.62e+06,6.18e+06,3.7542780149488704,3.5083807281546515
"expt_58-C002-400-escape, lib2",200923,expt_58,C002,400,escape,1740816.0,5.7e+06,5.39e+06,3.273870414793982,3.0958263251256883
"expt_57-C105-400-escape, lib1",200923,expt_57,C105,400,escape,1603797.0,5.8e+06,5.31e+06,3.617187836116416,3.31336571897815
"expt_57-C105-400-escape, lib2",200923,expt_57,C105,400,escape,1600974.0,5.83e+06,5.4e+06,3.643981101504459,3.3704245040831395
"expt_56-C110-400-escape, lib1",200923,expt_56,C110,400,escape,1455039.0,5.67e+06,5.31e+06,3.8965553500627816,3.648046547205951
"expt_56-C110-400-escape, lib2",200923,expt_56,C110,400,escape,1458602.0,5.46e+06,5.17e+06,3.7431897117925246,3.5458713206207038
"expt_55-C121-400-escape, lib1",200923,expt_55,C121,400,escape,2002999.0,8.43e+06,7.96e+06,4.209981133290631,3.972936581595897
"expt_55-C121-400-escape, lib2",200923,expt_55,C121,400,escape,2013477.0,7.68e+06,7.3e+06,3.8150607133828696,3.625096288658872
"expt_53-C135-400-escape, lib1",200923,expt_53,C135,400,escape,2000000.0,8.56e+06,7.99e+06,4.281848,3.9962355
"expt_53-C135-400-escape, lib2",200923,expt_53,C135,400,escape,2003895.0,1.08e+07,1.01e+07,5.370652653956419,5.064166535671779
"expt_54-C144-400-escape, lib1",200923,expt_54,C144,400,escape,1787287.0,9.52e+06,8.94e+06,5.329107748223985,5.001947085163155
"expt_54-C144-400-escape, lib2",200923,expt_54,C144,400,escape,1763435.0,6.2e+06,5.88e+06,3.5174247987592397,3.3339244145658897
"expt_27-CB6-400-escape, lib1",200904,expt_27,CB6,400,escape,1907893.0,6.69e+06,6.26e+06,3.5071736203235715,3.282590795186103
"expt_27-CB6-400-escape, lib2",200904,expt_27,CB6,400,escape,927804.0,3.62e+06,3.42e+06,3.9009004056891325,3.684329880017762
"expt_60-COV-021-500-escape, lib1",200929,expt_60,COV-021,500,escape,315013.0,8.17e+05,5.96e+05,2.594035801697073,1.8934329694330074
"expt_60-COV-021-500-escape, lib2",200929,expt_60,COV-021,500,escape,443383.0,1.37e+06,1.17e+06,3.091424344190012,2.647607147770663
"expt_61-COV-047-200-escape, lib1",200929,expt_61,COV-047,200,escape,335163.0,9.83e+05,7.26e+05,2.931907758314611,2.1665846170370835
"expt_61-COV-047-200-escape, lib2",200929,expt_61,COV-047,200,escape,358995.0,1.1e+06,8.99e+05,3.0573796292427473,2.5038203874705776
"expt_62-COV-057-50-escape, lib1",200929,expt_62,COV-057,50,escape,417871.0,1.38e+06,1.07e+06,3.291372217741839,2.5725355432657446
"expt_62-COV-057-50-escape, lib2",200929,expt_62,COV-057,50,escape,469389.0,1.57e+06,1.29e+06,3.354871971861292,2.745665109322971
"expt_63-COV-072-200-escape, lib1",200929,expt_63,COV-072,200,escape,413222.0,1.45e+06,1.08e+06,3.5166036658261177,2.622742738769959
"expt_63-COV-072-200-escape, lib2",200929,expt_63,COV-072,200,escape,374509.0,1.65e+06,1.29e+06,4.402900864865731,3.448758240789941
"expt_64-COV-107-80-escape, lib1",200929,expt_64,COV-107,80,escape,525925.0,1.68e+06,1.45e+06,3.188762656272282,2.756887388886248
"expt_64-COV-107-80-escape, lib2",200929,expt_64,COV-107,80,escape,402521.0,2.27e+06,1.97e+06,5.633887424507044,4.902849789203545
"expt_13-COV2-2050-400-escape, lib1",200720,expt_13,COV2-2050,400,escape,1253185.0,4.77e+06,4.04e+06,3.8099179291166108,3.226242733515004
"expt_13-COV2-2050-400-escape, lib2",200720,expt_13,COV2-2050,400,escape,1588138.0,5.68e+06,4.79e+06,3.577218730362223,3.014362731702157
"expt_11-COV2-2082-400-escape, lib1",200616,expt_11,COV2-2082,400,escape,522474.0,7.46e+06,7.34e+06,14.274122731466063,14.057819145067505
"expt_11-COV2-2082-400-escape, lib2",200616,expt_11,COV2-2082,400,escape,512138.0,4.25e+06,4.1e+06,8.291021170075252,8.002729733001653
"expt_14-COV2-2094-400-escape, lib1",200720,expt_14,COV2-2094,400,escape,853420.0,3.39e+06,3.37e+06,3.972541070047573,3.9475498582175246
"expt_14-COV2-2094-400-escape, lib2",200720,expt_14,COV2-2094,400,escape,954885.0,2.89e+06,2.85e+06,3.0293585091398443,2.9889065175387612
"expt_23-COV2-2096-400-escape, lib1",200810,expt_23,COV2-2096,400,escape,1018697.0,1.34e+07,1.15e+07,13.156540168470114,11.31387154374657
"expt_23-COV2-2096-400-escape, lib2",200810,expt_23,COV2-2096,400,escape,927621.0,1.3e+07,1.16e+07,14.045826905600455,12.549680311247805
"expt_66-COV2-2130-400-escape, lib1",201102,expt_66,COV2-2130,400,escape,1933517.0,5.91e+06,5.38e+06,3.0561313916557236,2.7840034507066656
"expt_66-COV2-2130-400-escape, lib2",201102,expt_66,COV2-2130,400,escape,2145467.0,4.86e+06,4.51e+06,2.263544487051071,2.1027785559041456
"expt_9-COV2-2165-400-escape, lib1",200616,expt_9,COV2-2165,400,escape,911426.0,1.05e+07,8.92e+06,11.562853155385078,9.78407791746121
"expt_9-COV2-2165-400-escape, lib2",200616,expt_9,COV2-2165,400,escape,393068.0,3.34e+06,2.09e+06,8.49831326895092,5.313401243550734
"expt_65-COV2-2196-400-escape, lib1",201102,expt_65,COV2-2196,400,escape,2323887.0,7.31e+06,6.93e+06,3.144538869574984,2.9822590341096618
"expt_65-COV2-2196-400-escape, lib2",201102,expt_65,COV2-2196,400,escape,1828346.0,5.48e+06,5.25e+06,2.9976558047546797,2.872373172255142
"expt_5-COV2-2479-400-escape, lib1",200615,expt_5,COV2-2479,400,escape,684856.0,1.75e+07,1.22e+07,25.617541497774713,17.840321177006555
"expt_5-COV2-2479-400-escape, lib2",200615,expt_5,COV2-2479,400,escape,582089.0,1.78e+07,1.27e+07,30.586850120857807,21.827199964266633
"expt_15-COV2-2499-400-escape, lib1",200720,expt_15,COV2-2499,400,escape,2593041.0,6.76e+06,6.08e+06,2.6079953999956036,2.3436914418244834
"expt_15-COV2-2499-400-escape, lib2",200720,expt_15,COV2-2499,400,escape,2655138.0,8.65e+06,7.7e+06,3.2572476458850725,2.899644387598686
"expt_16-COV2-2677-400-escape, lib1",200720,expt_16,COV2-2677,400,escape,1243786.0,4.03e+06,3.45e+06,3.2415817512015734,2.774012571294419
"expt_16-COV2-2677-400-escape, lib2",200720,expt_16,COV2-2677,400,escape,1457488.0,3.98e+06,3.22e+06,2.7319024238964573,2.2112772112017387
"expt_10-COV2-2832-400-escape, lib1",200616,expt_10,COV2-2832,400,escape,1525920.0,1.54e+07,1.39e+07,10.104175186117228,9.128958923141449
"expt_10-COV2-2832-400-escape, lib2",200616,expt_10,COV2-2832,400,escape,975400.0,8.76e+06,6.59e+06,8.984226983801518,6.751613696944843
"expt_3-CR3022-400-escape, lib1",200615,expt_3,CR3022,400,escape,1790556.0,1.7e+07,1.69e+07,9.477030039831202,9.464461876646137
"expt_3-CR3022-400-escape, lib2",200615,expt_3,CR3022,400,escape,1175925.0,7.64e+06,7.58e+06,6.499747858069179,6.449374747539172
"expt_24-REGN10933-400-escape, lib1",200904,expt_24,REGN10933,400,escape,1252342.0,4.46e+06,4.16e+06,3.5583083534689406,3.3209698309247795
"expt_24-REGN10933-400-escape, lib2",200904,expt_24,REGN10933,400,escape,984237.0,3.44e+06,3.02e+06,3.4927898463479834,3.072097472458361
"expt_26-REGN10933+REGN10987-400-escape, lib1",200904,expt_26,REGN10933+REGN10987,400,escape,635898.0,3.06e+06,2.54e+06,4.814563027403766,3.9875357368634594
"expt_26-REGN10933+REGN10987-400-escape, lib2",200904,expt_26,REGN10933+REGN10987,400,escape,585188.0,2.42e+06,1.99e+06,4.1400712249738545,3.407549368749872
"expt_25-REGN10987-400-escape, lib1",200904,expt_25,REGN10987,400,escape,1155004.0,4e+06,3.62e+06,3.4611680998507364,3.13306014524625
"expt_25-REGN10987-400-escape, lib2",200904,expt_25,REGN10987,400,escape,1091502.0,5.22e+06,4.74e+06,4.784425498075129,4.341585265075098
